Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical
1771	279.89105148	745.664	270.52000000000004	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9105798688	4.8	457.0	0.0
1772	279.96310836000004	746.4480000000001	270.54	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9106074816000005	4.8	457.0	0.0
1773	280.03516524	747.2320000000001	270.56	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9106350944	4.8	457.0	0.0
1774	280.10722212	748.0160000000001	270.58000000000004	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9106627072	4.8	457.0	0.0
1775	280.179279	748.8000000000001	270.6	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9106903200000005	4.8	457.0	0.0
1776	280.25133588	749.5840000000001	270.62	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9107179328	4.8	457.0	0.0
1777	280.32339276	750.368	270.64000000000004	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9107455456	4.8	457.0	0.0
1778	280.39544964	751.152	270.66	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9107731584	4.8	457.0	0.0
1779	280.46750652000003	751.936	270.68	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9108007712	4.8	457.0	0.0
1780	280.5395634	752.72	270.70000000000005	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.910828384	4.8	457.0	0.0
